CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2014-6-28,35,31,27,27,26,23,89,70,43,1006,1003,1001,23,10,7,11,5,40,0.00,4,中雨,135
2014-6-29,35,31,26,27,25,23,92,71,46,1007,1004,1001,26,11,3,26,8,,11.94,4,中雨,118
2014-6-30,35,31,27,26,25,24,89,74,56,1009,1007,1005,24,11,10,32,11,32,5.08,3,,105
2014-7-1,33,29,26,27,26,24,94,84,63,1010,1008,1006,23,10,5,18,10,,17.02,3,中雨-雷暴,96
2014-7-2,34,30,26,27,26,24,100,85,52,1008,1006,1004,26,9,3,18,6,,7.87,4,中雨-雷暴,114
2014-7-3,34,30,26,27,26,23,95,77,47,1006,1004,1001,26,11,6,11,6,,0.00,4,中雨,151
2014-7-4,36,31,26,27,25,23,90,69,41,1005,1003,1001,31,12,8,18,8,,0.00,4,,160
2014-7-5,36,31,27,26,25,21,89,67,33,1005,1003,1001,27,12,10,14,8,,0.00,4,,183
2014-7-6,37,32,27,27,25,21,89,67,32,1006,1003,1001,26,11,10,18,8,,0.00,3,,179
2014-7-7,35,31,27,27,26,24,88,72,43,1004,1001,999,18,10,3,14,6,,0.00,3,中雨-雷暴,83
2014-7-8,36,30,25,27,26,24,94,81,52,1002,1000,996,16,7,2,29,6,47,9.91,6,中雨-雷暴,70
2014-7-9,36,30,24,27,25,23,94,73,43,1004,1002,999,19,7,2,14,5,,0.00,2,,132
2014-7-10,36,31,26,27,26,24,91,74,50,1006,1003,1000,19,8,2,32,8,,16.00,3,中雨-雷暴,137
2014-7-11,31,28,26,27,26,24,95,86,69,1008,1005,1003,19,8,2,18,8,,4.06,4,中雨-雷暴,96
2014-7-12,34,29,25,27,26,23,100,87,63,1009,1006,1005,26,9,3,26,8,,2.03,3,中雨-雷暴,97
2014-7-13,35,30,26,28,26,24,100,82,49,1010,1007,1005,27,9,3,21,6,,17.02,4,中雨-雷暴,122
2014-7-14,35,30,26,27,26,23,95,76,49,1010,1008,1006,31,11,3,18,8,,0.76,3,中雨-雷暴,150
2014-7-15,35,31,27,27,26,23,89,74,46,1010,1009,1006,31,12,10,32,8,,0.51,5,中雨,156
2014-7-16,35,30,25,26,25,21,95,70,37,1010,1007,1005,27,11,6,14,6,,0.00,2,,131
2014-7-17,36,30,25,26,24,22,90,67,44,1007,1005,1002,31,11,6,18,8,,0.00,2,,86
2014-7-18,32,29,26,26,24,22,89,76,62,1006,1004,1003,31,12,2,40,14,58,4.06,5,中雨,89
2014-7-19,32,29,26,28,25,23,94,83,58,1009,1006,1004,31,12,6,26,11,40,23.88,4,中雨-雷暴,104
2014-7-20,35,30,26,26,25,23,100,79,47,1010,1008,1005,26,10,3,18,6,,7.87,4,中雨-雷暴,138
2014-7-21,32,28,25,27,26,24,94,83,59,1007,1005,1003,14,6,1,26,5,40,0.00,5,中雨-雷暴,149
2014-7-22,37,31,25,27,24,22,94,69,42,1005,1002,998,19,8,2,11,5,26,0.00,4,,10
2014-7-23,37,32,27,27,26,23,91,66,38,1001,999,996,19,8,3,18,6,32,0.00,2,,250
2014-7-24,37,30,23,27,25,20,94,70,44,1005,999,997,18,8,3,29,11,55,39.88,5,中雨-雷暴,202
2014-7-25,32,28,24,26,24,23,94,79,57,1008,1005,1003,14,6,0,26,10,,5.08,3,雾-中雨-雷暴,76
2014-7-26,34,29,24,26,25,23,94,78,56,1010,1008,1007,26,10,2,18,10,,2.03,3,中雨-雷暴,107
2014-7-27,33,29,25,26,24,23,94,78,57,1010,1008,1006,27,11,3,18,8,,8.89,4,中雨-雷暴,104
2014-7-28,36,30,24,26,24,21,94,68,38,1008,1006,1003,29,11,2,11,6,,0.00,3,,109
2014-7-29,37,31,24,25,24,21,94,64,34,1007,1004,1002,27,11,5,18,3,,0.00,4,,121
2014-7-30,37,31,26,26,24,22,88,63,38,1007,1004,1002,19,8,3,18,6,,0.00,4,,211
2014-7-31,38,32,26,27,25,22,91,64,36,1005,1002,999,18,7,3,18,8,,0.00,2,,234
2014-8-1,38,32,27,27,24,19,89,64,43,1003,1000,997,19,8,3,40,10,47,6.10,2,中雨,249
2014-8-2,37,31,24,25,24,22,93,69,44,1003,1001,997,19,7,2,29,8,,25.91,4,中雨-雷暴,114
2014-8-3,37,30,24,26,24,22,95,69,42,1003,1001,998,11,7,0,18,6,26,0.00,2,雾,116
2014-8-4,36,31,26,27,26,24,92,71,50,1004,1002,999,23,7,2,18,8,,0.00,4,中雨,128
2014-8-5,36,31,26,26,25,23,92,69,46,1005,1003,1000,26,9,4,18,8,,0.00,3,,122
2014-8-6,35,31,26,27,26,24,94,80,53,1004,1003,1000,26,9,3,32,8,,55.88,5,中雨-雷暴,91
2014-8-7,34,29,25,27,26,23,94,84,59,1004,1002,1000,23,6,0,21,6,,39.88,5,中雨-雷暴,71
2014-8-8,36,30,24,27,25,23,94,74,50,1004,1002,999,24,8,2,29,10,47,0.51,4,中雨-雷暴,135
2014-8-9,36,31,26,26,25,23,90,70,47,1006,1003,1001,27,12,6,18,8,,0.00,5,中雨,156
2014-8-10,36,31,26,26,25,23,94,72,44,1006,1003,1000,27,11,3,21,10,43,39.12,5,中雨-雷暴,186
2014-8-11,36,31,26,27,26,22,94,74,42,1004,1002,999,26,10,2,21,6,,0.00,4,中雨,137
2014-8-12,37,30,24,27,26,23,100,76,46,1003,1001,998,31,11,4,29,8,50,51.05,4,中雨-雷暴,174
2014-8-13,29,27,24,26,25,23,100,94,79,1005,1002,1000,10,6,1,32,8,61,7.87,6,中雨-雷暴,80
2014-8-14,31,28,25,27,26,24,100,89,66,1010,1007,1004,23,8,1,29,8,21,1.02,5,中雨-雷暴,131
2014-8-15,35,30,25,27,25,22,100,78,44,1011,1009,1007,31,9,2,29,6,,17.02,4,中雨-雷暴,183
2014-8-16,34,29,24,25,24,23,100,79,46,1010,1008,1005,21,8,0,21,5,,0.00,4,雾-中雨-雷暴,216
2014-8-17,34,29,24,26,24,21,94,74,37,1008,1006,1004,26,9,5,14,5,35,0.00,4,,203
2014-8-18,35,31,26,27,24,22,89,69,41,1009,1007,1005,31,11,6,14,6,,0.00,4,中雨,173
2014-8-19,32,28,24,26,25,22,100,83,56,1010,1008,1005,23,9,2,26,10,43,30.99,6,中雨-雷暴,186
2014-8-20,26,24,24,25,24,23,100,95,85,1011,1009,1008,14,6,0,14,8,,39.12,7,雾-中雨-雷暴,107
2014-8-21,32,28,23,26,24,22,100,88,51,1011,1010,1008,24,8,2,14,6,29,1.02,4,中雨-雷暴,71
2014-8-22,34,29,24,26,24,22,100,83,52,1011,1010,1007,18,7,2,21,5,,24.89,5,中雨,109
2014-8-23,34,29,24,26,24,22,100,76,45,1011,1009,1006,26,9,2,14,5,35,0.00,5,中雨,181
2014-8-24,34,30,26,26,24,22,94,73,44,1011,1009,1007,31,12,7,18,5,,0.00,4,中雨,145
2014-8-25,35,30,24,25,24,21,95,69,44,1012,1009,1007,19,9,3,11,3,,0.00,5,,104
2014-8-26,35,30,25,26,24,22,91,69,46,1012,1010,1007,27,10,7,14,5,,0.00,4,,124
2014-8-27,35,30,24,26,24,22,92,66,43,1012,1010,1008,31,13,6,21,6,,0.00,4,,96
2014-8-28,34,29,24,26,24,23,94,73,53,1014,1011,1010,29,12,3,32,10,,20.07,3,中雨-雷暴,105
2014-8-29,35,30,24,26,24,22,94,71,44,1014,1012,1009,26,11,5,6,3,,0.51,3,,99
2014-8-30,36,30,25,26,24,21,93,68,34,1013,1010,1007,26,10,3,14,6,,7.11,4,中雨,99
2014-8-31,34,29,24,25,24,22,95,78,54,1011,1009,1008,27,10,2,29,8,50,9.91,4,中雨-雷暴,90
2014-9-1,36,29,23,25,24,23,95,75,45,1012,1010,1008,26,11,3,26,6,,0.00,4,中雨-雷暴,82
2014-9-2,34,29,24,27,24,22,94,73,46,1013,1010,1008,26,7,2,11,3,29,0.00,5,,234
2014-9-3,36,30,25,26,24,22,95,67,37,1011,1009,1006,27,10,2,29,6,26,0.00,3,中雨,267
2014-9-4,36,30,24,24,22,20,87,61,37,1009,1007,1004,29,13,6,18,11,,0.00,1,,15
2014-9-5,32,28,24,26,24,22,94,81,66,1009,1007,1005,14,7,3,21,8,,1.02,4,中雨-雷暴,84
2014-9-6,35,29,23,26,24,22,95,72,40,1010,1008,1005,19,9,2,18,6,,0.00,4,,53
2014-9-7,36,31,26,26,24,22,90,70,44,1009,1007,1004,19,8,2,21,8,,0.00,3,中雨,87
2014-9-8,33,29,26,27,25,24,94,82,57,1008,1007,1005,31,11,6,18,8,,18.03,4,中雨-雷暴,76
2014-9-9,34,30,26,27,26,24,100,83,56,1009,1007,1005,21,9,3,21,6,,0.00,5,中雨-雷暴,84
2014-9-10,35,30,25,27,26,23,94,77,44,1010,1007,1005,19,9,3,6,3,,0.00,3,中雨,107
2014-9-11,35,30,26,26,25,23,91,73,49,1010,1007,1005,26,10,5,14,2,,0.00,4,,126
2014-9-12,34,29,25,26,25,23,93,78,55,1008,1006,1004,26,10,5,26,8,,14.99,4,中雨-雷暴,92
2014-9-13,34,29,25,27,26,24,94,82,59,1007,1006,1004,27,10,3,21,5,40,13.97,5,中雨-雷暴,92
2014-9-14,36,30,25,26,25,23,93,76,47,1008,1006,1004,31,12,3,18,6,,0.00,3,,75
2014-9-15,35,30,26,26,24,23,91,69,48,1005,1003,999,19,10,3,29,13,,4.06,5,中雨,32
2014-9-16,29,27,26,26,24,23,100,83,67,1008,1003,1000,31,12,6,35,18,58,25.91,7,中雨,79
2014-9-17,31,28,26,28,26,24,94,86,71,1014,1010,1007,26,11,6,29,13,,8.89,5,中雨-雷暴,101
2014-9-18,34,29,25,26,24,22,94,75,43,1014,1012,1009,26,11,3,11,6,,0.00,2,,77
2014-9-19,36,30,24,26,25,22,94,71,44,1010,1007,1004,26,9,2,21,6,35,0.00,4,,349
2014-9-20,31,27,24,22,21,19,78,66,49,1007,1005,1004,29,12,10,26,18,43,0.00,4,中雨,3
2014-9-21,30,27,23,20,18,17,75,57,48,1008,1006,1005,24,12,8,26,14,,0.00,6,,7
2014-9-22,32,28,23,22,19,17,77,58,44,1009,1007,1006,26,11,8,21,13,29,0.00,3,,16
2014-9-23,31,27,22,22,19,18,77,61,41,1010,1009,1007,23,11,8,21,13,32,0.00,4,,1
2014-9-24,33,28,23,23,21,19,83,63,40,1013,1011,1009,19,10,6,14,8,,0.00,3,,20
2014-9-25,35,29,23,24,22,19,91,66,37,1014,1012,1010,19,8,3,11,5,,0.00,3,,92
2014-9-26,34,29,24,25,23,16,90,68,28,1014,1012,1009,14,6,2,11,5,,0.00,1,,134
2014-9-27,34,29,24,25,23,18,92,69,30,1015,1012,1010,26,9,5,11,5,,0.00,4,,127
2014-9-28,35,29,24,25,23,18,90,66,31,1014,1011,1009,27,10,5,11,3,,0.00,3,,134
2014-9-29,36,30,24,25,23,20,93,67,35,1013,1011,1008,23,8,3,11,3,40,0.00,5,,152
2014-9-30,36,30,24,25,24,22,91,72,39,1013,1011,1009,19,7,2,29,5,,0.00,5,中雨-雷暴,41
2014-10-1,36,30,25,25,22,21,85,68,44,1014,1012,1009,18,8,5,29,8,,0.00,4,中雨,35
2014-10-2,35,29,23,25,22,20,92,67,39,1013,1010,1007,18,7,3,14,6,,0.00,3,,44
2014-10-3,34,29,24,24,22,19,91,67,42,1011,1009,1007,18,8,3,18,6,,0.51,4,中雨,56
2014-10-4,33,28,23,24,21,17,91,62,33,1012,1010,1008,19,8,3,18,6,,0.00,5,,51
2014-10-5,33,27,20,21,14,11,89,44,24,1015,1013,1011,27,15,5,26,13,,0.00,,,25
2014-10-6,32,26,19,18,13,11,75,41,26,1018,1016,1014,27,20,6,29,13,43,0.00,,,29
2014-10-7,31,24,18,17,12,9,82,44,27,1018,1015,1012,27,14,6,21,11,,0.00,,,24
2014-10-8,30,24,18,17,13,10,88,51,28,1016,1013,1011,18,9,5,21,6,,0.00,,,38
2014-10-9,31,26,22,18,14,12,71,46,26,1014,1011,1009,26,12,6,21,8,35,0.00,2,,14
2014-10-10,31,26,21,18,15,13,72,49,34,1013,1011,1009,26,12,7,26,10,,0.00,1,,27
2014-10-11,33,27,20,19,16,14,82,49,33,1013,1011,1010,26,13,8,21,11,32,0.00,1,,3
2014-10-12,32,26,21,17,14,11,71,45,24,1016,1014,1012,26,12,8,32,18,55,0.00,1,,5
2014-10-13,30,26,21,15,12,9,64,43,25,1019,1017,1015,27,16,8,35,18,47,0.00,,,11
2014-10-14,29,24,19,16,12,10,69,45,27,1021,1019,1016,16,6,5,21,16,,0.00,2,,13
2014-10-15,30,23,17,17,13,11,83,52,25,1020,1017,1015,19,6,3,18,8,,0.00,,,68
2014-10-16,31,24,18,19,16,13,87,61,29,1020,1017,1015,18,6,2,11,6,,0.00,2,,94
2014-10-17,30,24,18,19,17,15,91,65,35,1020,1017,1015,14,6,2,11,6,,0.00,1,,96
2014-10-18,31,24,18,19,18,14,93,66,31,1018,1016,1013,19,6,2,11,6,,0.00,6,,104
2014-10-19,32,26,19,21,19,17,94,66,36,1018,1015,1013,18,7,2,14,6,,0.00,4,,107
2014-10-20,33,26,19,21,20,18,92,67,39,1016,1014,1012,18,7,2,14,5,,0.00,4,,143
2014-10-21,32,27,22,22,21,17,90,66,38,1017,1015,1013,14,7,3,29,5,,0.00,3,,290
2014-10-22,31,27,23,19,17,14,73,55,36,1018,1016,1015,26,13,10,29,18,,0.00,3,,2
2014-10-23,27,23,20,19,14,12,86,55,44,1019,1016,1015,21,10,7,18,11,,0.76,6,中雨,46
2014-10-24,28,24,20,20,18,17,90,70,49,1018,1016,1014,18,7,2,11,5,,0.00,7,中雨,87
2014-10-25,29,24,19,21,19,18,93,73,44,1019,1016,1015,14,5,2,6,5,,0.00,2,,91
2014-10-26,29,26,22,22,21,20,90,79,55,1019,1017,1016,8,3,2,11,5,,0.00,6,中雨,69
2014-10-27,33,27,22,22,19,14,94,65,25,1018,1016,1013,19,6,2,14,5,,0.00,1,,110
2014-10-28,31,26,20,21,18,15,90,61,31,1018,1016,1014,19,8,3,14,6,,0.00,6,,127
2014-10-29,32,27,22,21,19,17,85,63,35,1018,1016,1014,18,9,5,14,6,,0.00,5,,117
2014-10-30,31,26,21,21,20,19,90,68,46,1017,1015,1013,14,8,5,11,5,,0.00,4,,114
2014-10-31,31,26,21,22,21,18,92,70,44,1016,1014,1011,16,6,3,6,5,,0.00,3,,108
2014-11-1,32,27,21,23,21,19,92,72,45,1014,1012,1009,14,5,2,6,3,,0.00,1,,99
2014-11-2,26,23,20,22,16,12,91,61,43,1020,1016,1013,27,9,2,35,16,43,0.00,5,,10
2014-11-3,26,22,18,15,9,6,71,44,34,1021,1018,1016,19,12,6,29,19,,0.00,6,中雨,21
2014-11-4,23,21,18,15,11,7,73,49,35,1020,1017,1015,19,9,6,14,6,,0.00,6,,62
2014-11-5,26,22,19,20,18,13,86,69,57,1019,1017,1014,16,6,3,11,5,,0.51,7,中雨,81
2014-11-6,22,20,19,20,18,16,100,88,73,1020,1018,1016,18,7,2,21,11,,8.89,8,中雨,16
2014-11-7,20,18,17,17,17,16,100,91,78,1020,1018,1016,14,6,2,18,11,,6.10,8,中雨,20
2014-11-8,21,18,16,17,16,14,100,87,73,1022,1019,1017,26,9,3,26,13,29,8.89,7,中雨,15
2014-11-9,22,19,17,16,14,14,88,74,56,1022,1019,1017,26,10,6,18,10,29,0.00,7,,12
2014-11-10,21,19,17,17,16,15,94,86,71,1020,1018,1017,31,10,5,21,10,,0.00,8,中雨,21
2014-11-11,21,19,18,18,17,16,94,89,72,1019,1017,1016,23,9,4,14,6,,0.00,8,中雨,44
2014-11-12,21,19,17,17,16,13,94,80,66,1021,1019,1017,27,10,3,21,13,,4.06,7,中雨,9
2014-11-13,22,19,16,14,12,11,77,63,53,1023,1021,1019,18,8,6,21,14,,0.00,6,中雨,25
2014-11-14,24,20,16,15,12,9,83,62,44,1023,1021,1018,19,9,6,14,8,,0.00,6,,53
2014-11-15,27,22,17,18,15,13,87,68,44,1023,1020,1017,18,8,6,11,5,,0.00,6,,72
2014-11-16,27,22,17,17,15,12,88,65,35,1021,1019,1016,19,8,5,26,8,,0.00,1,,16
2014-11-17,24,19,15,12,11,9,68,56,36,1024,1021,1019,18,8,5,32,21,32,0.00,,,24
2014-11-18,23,19,15,11,10,9,68,55,37,1025,1023,1020,18,8,6,26,19,,0.00,3,,16
2014-11-19,24,19,14,13,10,9,80,56,32,1024,1021,1018,18,9,6,18,5,,0.00,5,,17
2014-11-20,25,19,13,15,13,11,89,66,36,1021,1018,1016,18,7,3,11,5,,0.00,3,,75
2014-11-21,27,20,14,17,15,13,95,70,35,1020,1017,1014,18,7,2,14,5,,0.00,4,,67
2014-11-22,28,22,16,18,16,14,90,69,37,1018,1016,1013,19,8,4,11,3,,0.00,2,,107
2014-11-23,29,23,17,19,18,16,94,73,40,1019,1016,1014,19,7,2,11,5,,0.00,4,,108
2014-11-24,29,23,18,20,18,17,94,75,44,1017,1015,1013,21,7,3,11,3,,0.00,3,,122
2014-11-25,28,23,18,20,18,15,94,75,46,1015,1013,1011,18,7,3,26,5,29,0.00,3,,327
2014-11-26,26,21,17,19,16,14,83,71,52,1016,1014,1012,13,6,5,18,10,,0.00,4,,31
2014-11-27,29,24,19,20,18,16,94,73,43,1017,1014,1012,18,6,2,14,8,,0.00,3,,100
2014-11-28,27,24,21,21,20,19,88,80,62,1017,1014,1012,11,5,2,6,5,,0.25,6,中雨,88
2014-11-29,29,26,22,22,22,19,94,80,54,1015,1012,1010,19,6,0,18,3,,0.00,5,中雨,155
2014-11-30,30,26,21,23,22,14,94,80,59,1015,1012,1010,13,6,3,32,5,55,0.25,6,中雨,79
2014-12-1,20,17,14,14,10,8,68,59,49,1022,1019,1015,31,14,8,32,24,,0.00,6,中雨,13
2014-12-2,15,13,12,12,9,6,94,77,59,1023,1021,1020,14,6,2,26,14,,3.05,8,中雨,28
2014-12-3,16,14,12,14,13,11,100,91,80,1022,1019,1015,11,5,0,26,6,,3.05,8,中雨,2
2014-12-4,16,12,9,13,6,-2,94,62,33,1025,1023,1021,31,15,8,35,24,40,7.87,7,中雨,23
2014-12-5,18,14,10,8,0,-4,72,38,19,1026,1023,1021,27,20,10,21,13,,0.00,8,中雨,34
2014-12-6,19,16,12,9,6,2,67,52,26,1023,1021,1018,26,14,10,11,6,,0.00,7,中雨,71
2014-12-7,15,13,12,11,11,9,94,86,67,1023,1021,1019,11,8,3,18,11,,4.06,8,中雨,6
2014-12-8,19,15,11,11,9,8,94,67,47,1024,1022,1019,18,10,5,18,10,,0.76,7,中雨,19
2014-12-9,24,19,14,12,10,9,79,59,32,1024,1022,1019,19,11,6,14,5,,0.00,6,,41
2014-12-10,23,19,15,12,10,8,77,58,36,1022,1020,1017,19,8,6,29,10,47,0.00,5,,352
2014-12-11,19,15,11,8,7,5,67,59,41,1025,1022,1020,16,8,6,29,21,50,0.00,6,,355
2014-12-12,17,13,9,6,0,-5,71,41,20,1029,1027,1024,19,15,11,35,23,55,0.00,,,11
2014-12-13,18,12,7,4,-3,-8,69,33,17,1030,1027,1024,19,15,8,21,14,,0.00,,,12
2014-12-14,20,13,7,7,2,-2,84,47,17,1027,1024,1020,27,12,6,11,3,,0.00,,,83
2014-12-15,22,16,9,9,6,3,79,52,27,1024,1021,1018,16,8,6,21,6,35,0.00,6,,27
2014-12-16,18,14,10,4,1,-4,51,38,16,1030,1027,1023,21,11,8,43,26,58,0.00,6,,16
2014-12-17,16,11,6,-1,-9,-15,50,24,8,1032,1029,1025,29,22,11,35,18,47,0.00,,,17
2014-12-18,17,11,6,6,-3,-8,63,34,16,1030,1027,1024,27,14,6,14,6,,0.00,7,,77
2014-12-19,14,11,8,9,7,3,94,74,51,1028,1025,1023,13,8,3,11,3,,1.02,8,中雨,55
2014-12-20,20,13,6,8,4,0,97,64,19,1024,1021,1018,26,8,2,14,3,,0.00,,,88
2014-12-21,19,13,7,6,3,-3,91,51,19,1028,1025,1022,26,13,10,32,11,43,0.00,4,,20
2014-12-22,18,12,6,4,-3,-7,81,38,12,1028,1025,1022,26,13,6,26,13,26,0.00,,,23
2014-12-23,15,12,8,9,3,0,88,55,26,1024,1022,1021,21,9,2,11,5,,0.51,7,中雨,91
2014-12-24,22,16,10,12,10,8,90,70,33,1024,1022,1020,23,6,3,11,5,,0.00,7,中雨,95
2014-12-25,22,18,14,14,12,10,90,70,46,1023,1020,1019,18,7,0,14,5,,5.08,6,中雨,70
2014-12-26,19,16,13,14,11,9,94,69,45,1023,1021,1018,14,6,0,18,6,29,2.03,7,中雨,23
2014-12-27,14,13,12,13,12,11,100,92,88,1025,1023,1020,10,5,2,21,11,,10.92,8,中雨,4
2014-12-28,16,12,9,11,8,5,100,76,49,1026,1024,1022,19,9,3,29,16,,1.02,6,中雨,348
2014-12-29,20,13,6,8,4,1,95,62,21,1025,1021,1018,23,8,2,18,10,,0.00,,,339
2014-12-30,21,13,5,8,4,-1,95,62,16,1022,1020,1017,26,8,3,14,3,,0.00,,,71
2014-12-31,23,14,6,7,4,-1,96,56,14,1025,1022,1020,27,9,3,26,6,,0.00,,,38
2015-1-1,21,15,9,5,1,-3,62,39,16,1028,1025,1023,27,19,11,26,10,,0.00,,,26
2015-1-2,20,13,6,7,0,-3,84,43,13,1027,1025,1022,26,11,6,11,3,,0.00,,,86
2015-1-3,21,13,7,10,7,3,94,66,22,1025,1022,1018,16,5,2,6,2,,0.00,1,,112
2015-1-4,22,14,8,14,10,7,95,69,35,1019,1016,1014,16,5,2,11,5,,0.00,5,,95
2015-1-5,23,19,16,18,16,13,89,78,64,1016,1014,1012,14,5,2,6,3,,0.51,7,中雨,47
2015-1-6,24,20,17,19,18,13,100,85,59,1016,1014,1012,10,3,0,26,5,,0.00,7,雾-中雨,24
2015-1-7,16,13,12,12,9,6,82,70,56,1026,1021,1016,19,9,6,29,21,,0.00,7,中雨,5
2015-1-8,19,13,8,6,3,0,71,49,22,1029,1026,1024,18,10,8,29,14,40,0.00,6,,18
2015-1-9,18,13,8,8,3,1,74,49,28,1027,1025,1023,18,9,6,18,6,,0.00,,,16
2015-1-10,20,15,10,7,3,0,75,47,23,1026,1024,1022,26,10,6,29,8,,0.51,,中雨,16
2015-1-11,16,12,9,10,7,5,88,69,45,1026,1023,1021,16,8,5,21,10,26,0.51,5,中雨,359
2015-1-12,12,11,10,11,9,9,100,92,82,1025,1023,1022,11,6,2,21,13,,13.97,7,中雨,6
2015-1-13,15,12,9,10,9,7,94,83,59,1024,1022,1021,31,11,3,21,13,29,3.05,6,中雨,356
2015-1-14,18,13,8,8,7,4,87,66,30,1025,1023,1021,31,16,10,32,14,,0.00,4,,355
2015-1-15,19,12,6,9,5,3,89,64,30,1026,1023,1021,26,9,3,18,10,,0.00,,,61
2015-1-16,21,13,7,8,7,4,94,63,24,1025,1023,1020,24,8,3,21,5,,0.00,1,,27
2015-1-17,21,15,9,9,4,1,81,47,22,1027,1024,1022,26,11,6,21,11,,0.00,,,26
2015-1-18,20,13,7,7,5,1,92,55,26,1028,1024,1022,18,7,5,21,8,,0.00,,,28
2015-1-19,22,14,8,8,1,-3,85,40,15,1025,1023,1020,18,8,6,26,10,,0.00,,,31
2015-1-20,22,14,6,11,7,3,94,63,24,1023,1021,1018,13,5,3,6,5,,0.00,,,108
2015-1-21,24,18,12,11,8,5,94,60,23,1023,1021,1018,14,6,2,21,5,,0.00,,中雨,15
2015-1-22,23,16,9,10,4,-1,82,50,11,1024,1021,1019,26,9,6,14,6,,0.00,,,90
2015-1-23,23,14,7,9,6,0,91,57,15,1022,1020,1017,21,8,3,21,5,,0.00,,,114
2015-1-24,21,15,9,15,11,8,91,70,43,1021,1019,1017,16,6,3,11,5,,0.25,6,中雨,83
2015-1-25,23,19,16,17,16,14,94,82,58,1020,1018,1016,13,5,2,11,5,,0.00,6,中雨,41
2015-1-26,23,19,15,17,16,14,100,82,52,1021,1018,1016,14,5,2,14,6,29,0.00,7,,57
2015-1-27,24,19,14,16,15,13,100,80,51,1020,1017,1014,13,5,3,11,3,,0.00,4,,118
2015-1-28,21,18,16,16,14,11,88,74,49,1020,1017,1015,13,5,3,14,6,,0.00,5,,111
2015-1-29,22,18,14,13,12,10,82,66,37,1021,1019,1017,14,7,5,26,10,,0.00,6,,54
2015-1-30,18,14,11,10,6,5,77,64,38,1025,1023,1020,19,11,6,26,18,,0.00,6,,350
2015-1-31,16,12,8,7,5,4,76,64,47,1029,1027,1025,18,11,10,21,11,,0.00,6,,3
2015-2-1,18,14,11,9,6,4,74,61,41,1030,1027,1024,19,11,8,18,13,,0.00,8,,13
2015-2-2,21,14,8,11,8,6,86,62,35,1028,1026,1022,19,8,3,14,6,,0.00,4,,32
2015-2-3,21,17,13,12,11,9,84,66,42,1027,1025,1022,16,7,5,18,8,,0.00,6,,15
2015-2-4,15,13,11,9,7,6,77,67,58,1027,1025,1023,23,9,6,26,14,,0.00,8,中雨,352
2015-2-5,15,12,9,6,3,0,71,55,35,1029,1027,1025,18,10,6,29,18,47,0.00,7,中雨,9
2015-2-6,15,11,7,7,1,-1,71,47,34,1028,1025,1022,18,6,3,18,11,,0.00,7,中雨,70
2015-2-7,16,13,10,8,6,4,76,61,45,1025,1022,1020,13,6,3,18,6,29,0.00,7,中雨,1
2015-2-8,19,14,9,4,0,-3,55,38,16,1027,1024,1022,18,8,6,35,14,40,0.00,,,15
2015-2-9,19,12,6,6,1,-1,79,43,18,1028,1025,1023,14,8,6,14,6,,0.00,,,35
2015-2-10,19,13,7,9,5,1,87,53,22,1025,1022,1018,19,7,3,11,5,,0.00,3,,84
2015-2-11,18,14,11,9,6,3,85,56,34,1020,1019,1017,13,6,3,14,5,,0.00,6,,354
2015-2-12,24,17,10,9,6,-1,88,56,13,1021,1018,1016,19,6,2,14,6,,0.00,5,,53
2015-2-13,23,16,8,10,6,1,90,56,15,1021,1018,1016,19,7,3,11,5,,0.00,1,,78
2015-2-14,23,18,12,13,8,6,77,54,25,1018,1016,1014,19,8,6,14,5,,0.00,6,中雨,352
2015-2-15,21,18,14,17,15,9,94,87,56,1018,1016,1014,11,4,2,11,6,,2.03,8,中雨,66
2015-2-16,23,19,14,18,16,13,100,89,62,1019,1017,1014,18,4,0,11,5,,0.00,7,雾,86
2015-2-17,26,19,13,18,16,13,100,81,49,1018,1016,1014,21,6,0,11,3,,0.00,2,雾,140
2015-2-18,24,19,14,16,15,13,92,73,50,1021,1018,1017,18,6,2,11,6,,0.00,6,,141
2015-2-19,23,19,16,16,14,12,89,70,46,1022,1019,1017,18,6,2,18,6,,0.00,6,中雨,135
2015-2-20,24,20,17,17,16,13,88,74,56,1020,1017,1014,26,8,5,18,10,,0.00,7,中雨,142
2015-2-21,24,21,18,20,18,16,100,84,61,1016,1014,1012,14,6,4,11,5,,11.94,8,中雨,81
2015-2-22,26,22,18,20,19,18,100,87,58,1017,1015,1012,18,5,2,14,5,,7.87,6,雾-中雨,126
2015-2-23,22,21,19,21,19,18,100,92,81,1016,1014,1012,11,5,1,14,5,,16.00,8,中雨,130
2015-2-24,26,22,19,21,20,18,100,87,69,1015,1013,1010,18,6,2,21,8,,0.25,6,中雨,138
2015-2-25,26,22,19,21,19,18,94,82,63,1015,1013,1010,19,8,3,29,13,,0.00,6,中雨,137
2015-2-26,28,24,20,20,19,18,94,79,60,1016,1013,1011,23,8,5,21,10,,0.00,5,,136
